model,horizon,mae_mean,mae_std,rmse_mean,rmse_std,fold_count
baseline_linear,1,0.3504567715255325,0.13720275769761084,0.40983105430021083,0.14243791070883755,8
xgboost,1,0.3324141154726346,0.19175930604755415,0.39855678245618265,0.2016391648975989,8
baseline_linear,2,0.37927463681004453,0.1496662637361622,0.44140216239662217,0.1542620248754011,8
xgboost,2,0.34098794889648754,0.21741747438767856,0.40969686347563494,0.23033346683753878,8
baseline_linear,3,0.4505644759668975,0.21559286397393107,0.5176405983596722,0.2159617037469705,8
xgboost,3,0.35359320809841155,0.24578423374369868,0.4210707411218785,0.25768569490663606,8
baseline_linear,4,0.4930400999005964,0.2406631788750498,0.5595673935527442,0.2404993360310902,8
xgboost,4,0.3697684833308061,0.30799296118556807,0.44016864811850065,0.3233920425887393,8
baseline_linear,5,0.5676603686526689,0.3090899624908084,0.6343969961386815,0.30596021081305524,8
xgboost,5,0.4140099956184625,0.36374698195431365,0.4961829980718333,0.3821196442929547,8
baseline_linear,6,0.6282557732868214,0.35084769318692477,0.6955630883167491,0.34548940227066627,8
xgboost,6,0.439760939057668,0.3975626803461319,0.5198998764835847,0.41734110843600586,8
baseline_linear,7,0.6509043551434402,0.3643679130777346,0.7177082009419156,0.3604975233501613,8
xgboost,7,0.4402440370738506,0.4316581356772865,0.5215540395493711,0.4560603417035223,8
